name,age,city,salary
Yashica Ganesan,26.0,,89584.0
Dipta Bose,68.0,Mumbai,28858.0
Yasti Goswami,,Mumbai,
Mohammed Pandya,33.0,,75554.0
Wahab Khosla,22.0,Delhi,90034.0
Tanmayi Dyal,49.0,,68707.0
Timothy Munshi,57.0,,
Nikita Parmar,21.0,Delhi,45188.0
Nandini Samra,41.0,Mumbai,
,36.0,Delhi,91282.0
Dayamai Chhabra,60.0,,61474.0
Chakrika Sahni,37.0,Mumbai,64784.0
,30.0,Delhi,58340.0
Ranbir Dutta,55.0,Delhi,
Naksh Trivedi,35.0,Mumbai,
Maanav Zacharia,21.0,,42081.0
Nisha Ravel,70.0,,
Oeshi Garde,35.0,Mumbai,
Nisha Nagy,32.0,Mumbai,
Aadi Parsa,51.0,,
Nikita Pant,,,34178.0
Shivansh Malhotra,26.0,Mumbai,42658.0
Ronith Anne,60.0,Delhi,76249.0
Tamanna Saran,36.0,Mumbai,
Rudra Sibal,36.0,Delhi,25468.0
,,Delhi,63932.0
Jai Batta,43.0,,65386.0
Sai Koshy,,,
Gaurangi Kakar,62.0,Delhi,
Kritika Sridhar,21.0,Mumbai,
Nilima Apte,,Mumbai,
Ekalinga Dyal,,Mumbai,51288.0
Qasim Ghosh,66.0,,
Xavier Kara,32.0,Delhi,33641.0
Matthew Pathak,23.0,Delhi,63302.0
Anirudh Talwar,49.0,Mumbai,87922.0
Shaurya Walla,19.0,Mumbai,32979.0
Meera Bedi,44.0,Delhi,62705.0
Tanveer Sharaf,37.0,Mumbai,
Pushti Parikh,49.0,,35611.0
Rajata Sama,44.0,Delhi,46984.0
Forum Dhingra,26.0,,68333.0
Mahika Misra,36.0,,
Jai Kota,,,95882.0
Jeevika Morar,20.0,Delhi,76875.0
Vihaan Nigam,36.0,Mumbai,
Sudiksha Sandal,22.0,,68419.0
Zaitra Sarma,52.0,,
Daniel Bakshi,38.0,,62455.0
Fitan Sanghvi,21.0,,47950.0
Avi Anne,68.0,Mumbai,73453.0
Manbir Gala,42.0,Delhi,
Sara Choudhry,32.0,Mumbai,74031.0
Caleb Murty,48.0,,86895.0
Ranveer Butala,49.0,Mumbai,
Diya Zachariah,39.0,,
Upkaar Sastry,68.0,,74114.0
Anamika Divan,,Delhi,75358.0
Yatin Gill,31.0,Delhi,47654.0
,52.0,,85391.0
Balveer Raj,52.0,Delhi,60005.0
Daksh Chada,51.0,,
Gauri Boase,51.0,Mumbai,87274.0
Aarini Puri,34.0,,39340.0
Ekanta Srivastava,,Mumbai,
,41.0,,58283.0
Owen Parmar,20.0,Delhi,30697.0
Peter Jani,31.0,Mumbai,64961.0
Yatin Sharaf,,Mumbai,37417.0
Neel Ganguly,28.0,Delhi,47564.0
Triveni Gera,69.0,,
,61.0,Delhi,
Hamsini Keer,22.0,,32862.0
Odika Kara,56.0,Mumbai,
Vansha Prashad,70.0,Delhi,48663.0
Frado Sha,31.0,,39129.0
Aarnav Parsa,50.0,Mumbai,65629.0
Advay Sachar,63.0,Mumbai,53706.0
Eshana Dutt,37.0,Delhi,
Vyanjana Bakshi,62.0,Mumbai,34406.0
Patrick Doctor,69.0,,
Anusha Kalla,41.0,,35662.0
Aadi Oza,45.0,Delhi,
Bhavya Dash,39.0,Delhi,
Vinaya Gade,59.0,Mumbai,62406.0
Nikita Nadig,25.0,Mumbai,
Azad Buch,35.0,,26283.0
Jagrati Deshmukh,24.0,,
Ekansh Mahajan,67.0,Mumbai,
Bhavani Guha,,Delhi,
Ishwar Wason,31.0,Mumbai,66722.0
,50.0,Delhi,
Qushi Mistry,69.0,Mumbai,
Daniel Bansal,64.0,,
Christopher Batta,53.0,,
,40.0,Mumbai,24510.0
Henry Kakar,65.0,Delhi,33224.0
