Order_ID,Date,Product,Region,Salesperson,Units_Sold,Unit_Price,Revenue
APR-1000,2025-04-25,Keyboard,North,Arjun,7,427,2989
APR-1001,2025-04-03,Monitor,West,Karan,9,398,3582
APR-1002,2025-04-11,Mouse,North,Priya,3,1390,4170
APR-1003,2025-04-16,Keyboard,North,Sneha,5,1030,5150
APR-1004,2025-04-09,Mouse,South,Amit,3,447,1341
APR-1005,2025-04-10,Webcam,East,Sneha,9,1184,10656
APR-1006,2025-04-17,Monitor,North,Riya,5,809,4045
APR-1007,2025-04-25,Laptop,East,Priya,9,1111,9999
APR-1008,2025-04-23,Monitor,West,Sneha,4,216,864
APR-1009,2025-04-20,Laptop,East,Vikram,9,1636,14724
APR-1010,2025-04-22,Laptop,South,Riya,1,939,939
APR-1011,2025-04-14,Mouse,South,Sneha,1,324,324
APR-1012,2025-04-09,Printer,South,Vikram,2,1756,3512
APR-1013,2025-04-06,Keyboard,South,Arjun,2,419,838
APR-1014,2025-04-19,Laptop,West,Karan,10,1906,19060
APR-1015,2025-04-22,Headphones,East,Karan,5,1847,9235
APR-1016,2025-04-16,Mouse,East,Vikram,2,868,1736
APR-1017,2025-04-02,Headphones,North,Priya,7,1915,13405
APR-1018,2025-04-23,Laptop,North,Vikram,8,537,4296
APR-1019,2025-04-10,Monitor,South,Karan,7,753,5271
APR-1020,2025-04-13,Tablet,South,Sneha,6,783,4698
APR-1021,2025-04-08,Headphones,East,Priya,6,405,2430
APR-1022,2025-04-23,Tablet,South,Amit,10,1859,18590
APR-1023,2025-04-26,Keyboard,East,Priya,5,1821,9105
APR-1024,2025-04-19,Mouse,East,Riya,4,1809,7236
APR-1025,2025-04-25,Headphones,South,Neha,2,1616,3232
APR-1026,2025-04-09,Monitor,North,Priya,7,1572,11004
APR-1027,2025-04-07,Headphones,West,Neha,4,445,1780
APR-1028,2025-04-12,Webcam,South,Arjun,2,1495,2990
APR-1029,2025-04-02,Webcam,East,Priya,7,671,4697
APR-1030,2025-04-05,Tablet,East,Sneha,10,494,4940
APR-1031,2025-04-28,Monitor,North,Amit,1,883,883
APR-1032,2025-04-07,Keyboard,East,Priya,3,1973,5919
APR-1033,2025-04-20,Headphones,West,Sneha,10,1206,12060
APR-1034,2025-04-17,Keyboard,North,Vikram,3,1311,3933
APR-1035,2025-04-23,Webcam,West,Priya,8,1953,15624
APR-1036,2025-04-23,Printer,East,Vikram,4,515,2060
APR-1037,2025-04-19,Webcam,South,Riya,5,210,1050
APR-1038,2025-04-10,Monitor,North,Neha,6,1912,11472
APR-1039,2025-04-20,Keyboard,South,Riya,8,495,3960
APR-1040,2025-04-04,Printer,South,Arjun,1,610,610
APR-1041,2025-04-09,Monitor,South,Riya,4,477,1908
APR-1042,2025-04-24,Webcam,South,Neha,3,1896,5688
APR-1043,2025-04-04,Monitor,East,Sneha,2,1606,3212
APR-1044,2025-04-05,Keyboard,West,Amit,4,1341,5364
APR-1045,2025-04-05,Monitor,North,Arjun,6,413,2478
APR-1046,2025-04-10,Mouse,South,Karan,10,578,5780
APR-1047,2025-04-23,Mouse,South,Priya,6,1710,10260
APR-1048,2025-04-03,Headphones,East,Sneha,7,1466,10262
APR-1049,2025-04-15,Monitor,West,Neha,8,596,4768
APR-1050,2025-04-20,Headphones,North,Riya,8,327,2616
APR-1051,2025-04-08,Keyboard,East,Amit,4,328,1312
APR-1052,2025-04-01,Tablet,South,Karan,5,445,2225
APR-1053,2025-04-24,Tablet,East,Amit,3,1281,3843
APR-1054,2025-04-22,Monitor,East,Sneha,5,1285,6425
APR-1055,2025-04-01,Headphones,North,Amit,10,1972,19720
APR-1056,2025-04-07,Printer,West,Neha,7,1617,11319
APR-1057,2025-04-22,Printer,East,Sneha,5,998,4990
APR-1058,2025-04-18,Keyboard,South,Arjun,9,335,3015
APR-1059,2025-04-18,Tablet,North,Riya,7,495,3465
APR-1060,2025-04-25,Keyboard,North,Vikram,9,364,3276
APR-1061,2025-04-28,Monitor,North,Vikram,4,1192,4768
APR-1062,2025-04-26,Webcam,East,Priya,2,559,1118
APR-1063,2025-04-08,Monitor,North,Amit,10,955,9550
APR-1064,2025-04-16,Tablet,East,Amit,4,1102,4408
APR-1065,2025-04-13,Webcam,West,Vikram,5,705,3525
APR-1066,2025-04-17,Printer,South,Arjun,5,531,2655
APR-1067,2025-04-25,Headphones,West,Karan,2,1785,3570
APR-1068,2025-04-14,Monitor,East,Karan,6,1214,7284
APR-1069,2025-04-04,Keyboard,West,Sneha,2,1111,2222
APR-1070,2025-04-03,Laptop,West,Karan,6,741,4446
APR-1071,2025-04-03,Tablet,North,Riya,3,1758,5274
APR-1072,2025-04-24,Monitor,East,Riya,2,1732,3464
APR-1073,2025-04-02,Headphones,North,Vikram,3,240,720
APR-1074,2025-04-13,Tablet,West,Sneha,8,903,7224
APR-1075,2025-04-06,Keyboard,North,Amit,6,379,2274
APR-1076,2025-04-13,Tablet,East,Amit,5,1866,9330
APR-1077,2025-04-25,Printer,North,Vikram,7,1598,11186
APR-1078,2025-04-05,Webcam,South,Priya,3,981,2943
APR-1079,2025-04-26,Tablet,North,Neha,8,394,3152
APR-1080,2025-04-07,Laptop,South,Neha,2,1070,2140
APR-1081,2025-04-11,Tablet,West,Priya,1,1977,1977
APR-1082,2025-04-17,Webcam,North,Vikram,5,405,2025
APR-1083,2025-04-28,Tablet,South,Neha,1,220,220
APR-1084,2025-04-18,Webcam,West,Amit,4,587,2348
APR-1085,2025-04-15,Laptop,North,Priya,1,1963,1963
APR-1086,2025-04-13,Printer,West,Arjun,3,1286,3858
APR-1087,2025-04-15,Keyboard,West,Riya,3,456,1368
APR-1088,2025-04-18,Webcam,West,Arjun,2,436,872
APR-1089,2025-04-14,Keyboard,East,Sneha,1,1741,1741
APR-1090,2025-04-09,Webcam,South,Amit,1,630,630
APR-1091,2025-04-06,Printer,South,Arjun,10,673,6730
APR-1092,2025-04-16,Keyboard,East,Amit,2,549,1098
APR-1093,2025-04-24,Laptop,North,Priya,7,1515,10605
APR-1094,2025-04-16,Tablet,South,Arjun,4,1474,5896
APR-1095,2025-04-01,Keyboard,South,Vikram,8,1483,11864
APR-1096,2025-04-28,Headphones,South,Riya,2,1795,3590
APR-1097,2025-04-17,Monitor,West,Arjun,10,942,9420
APR-1098,2025-04-21,Headphones,South,Karan,5,1457,7285
APR-1099,2025-04-10,Headphones,North,Neha,5,1456,7280
APR-1100,2025-04-27,Printer,East,Amit,4,652,2608
APR-1101,2025-04-27,Keyboard,North,Arjun,6,350,2100
APR-1102,2025-04-14,Laptop,North,Vikram,8,1096,8768
APR-1103,2025-04-19,Mouse,West,Vikram,4,940,3760
APR-1104,2025-04-22,Monitor,West,Riya,10,1800,18000
APR-1105,2025-04-11,Mouse,North,Sneha,9,1219,10971
APR-1106,2025-04-19,Webcam,West,Vikram,3,1197,3591
APR-1107,2025-04-22,Keyboard,North,Riya,3,505,1515
APR-1108,2025-04-10,Laptop,West,Karan,1,945,945
APR-1109,2025-04-25,Laptop,West,Sneha,4,1762,7048
APR-1110,2025-04-10,Printer,South,Priya,5,748,3740
APR-1111,2025-04-22,Printer,East,Karan,8,1685,13480
APR-1112,2025-04-23,Keyboard,West,Neha,1,1584,1584
APR-1113,2025-04-12,Headphones,East,Priya,5,992,4960
APR-1114,2025-04-25,Webcam,West,Arjun,9,1299,11691
APR-1115,2025-04-20,Tablet,North,Priya,7,1057,7399
APR-1116,2025-04-06,Webcam,North,Priya,1,1746,1746
APR-1117,2025-04-11,Laptop,North,Karan,1,1456,1456
APR-1118,2025-04-12,Headphones,West,Arjun,5,789,3945
APR-1119,2025-04-06,Webcam,West,Sneha,4,1978,7912
APR-1120,2025-04-21,Webcam,East,Riya,7,1514,10598
APR-1121,2025-04-24,Printer,East,Neha,2,481,962
APR-1122,2025-04-14,Headphones,East,Priya,10,1047,10470
APR-1123,2025-04-26,Laptop,West,Neha,3,746,2238
APR-1124,2025-04-23,Keyboard,North,Riya,8,1754,14032
APR-1125,2025-04-22,Laptop,South,Karan,5,1643,8215
APR-1126,2025-04-13,Laptop,West,Neha,6,1973,11838
APR-1127,2025-04-03,Webcam,North,Amit,6,744,4464
APR-1128,2025-04-24,Monitor,West,Priya,8,1233,9864
APR-1129,2025-04-17,Tablet,West,Arjun,5,525,2625
APR-1130,2025-04-07,Webcam,West,Riya,1,491,491
APR-1131,2025-04-17,Laptop,North,Vikram,8,1548,12384
APR-1132,2025-04-17,Headphones,East,Karan,4,742,2968
APR-1133,2025-04-13,Headphones,East,Arjun,5,1097,5485
APR-1134,2025-04-28,Laptop,South,Vikram,3,1140,3420
APR-1135,2025-04-05,Laptop,North,Arjun,8,576,4608
APR-1136,2025-04-20,Webcam,North,Karan,6,1032,6192
APR-1137,2025-04-16,Headphones,North,Priya,8,284,2272
APR-1138,2025-04-27,Headphones,South,Sneha,4,755,3020
APR-1139,2025-04-16,Monitor,North,Karan,7,415,2905
APR-1140,2025-04-14,Mouse,East,Vikram,3,298,894
APR-1141,2025-04-15,Tablet,South,Riya,7,225,1575
APR-1142,2025-04-25,Tablet,West,Arjun,7,1641,11487
APR-1143,2025-04-01,Mouse,South,Arjun,10,1757,17570
APR-1144,2025-04-14,Mouse,East,Neha,3,1683,5049
APR-1145,2025-04-22,Headphones,West,Vikram,9,1874,16866
APR-1146,2025-04-24,Headphones,North,Vikram,10,548,5480
APR-1147,2025-04-17,Printer,South,Karan,10,357,3570
APR-1148,2025-04-22,Webcam,West,Arjun,1,1345,1345
