Order_ID,Date,Product,Region,Salesperson,Units_Sold,Unit_Price,Revenue
AUG-1000,2025-08-05,Webcam,North,Amit,2,1987,3974
AUG-1001,2025-08-09,Mouse,North,Amit,1,1832,1832
AUG-1002,2025-08-04,Mouse,South,Riya,8,1959,15672
AUG-1003,2025-08-12,Laptop,East,Riya,2,479,958
AUG-1004,2025-08-18,Tablet,West,Riya,3,1009,3027
AUG-1005,2025-08-21,Keyboard,South,Amit,6,1101,6606
AUG-1006,2025-08-24,Printer,East,Arjun,6,1634,9804
AUG-1007,2025-08-02,Laptop,West,Sneha,5,1614,8070
AUG-1008,2025-08-11,Webcam,East,Karan,6,1588,9528
AUG-1009,2025-08-22,Monitor,South,Priya,4,1492,5968
AUG-1010,2025-08-24,Webcam,West,Amit,4,1406,5624
AUG-1011,2025-08-20,Headphones,East,Karan,10,696,6960
AUG-1012,2025-08-06,Keyboard,North,Karan,1,1782,1782
AUG-1013,2025-08-06,Monitor,West,Neha,6,223,1338
AUG-1014,2025-08-13,Tablet,South,Amit,5,838,4190
AUG-1015,2025-08-20,Monitor,South,Riya,10,1122,11220
AUG-1016,2025-08-14,Monitor,East,Priya,5,334,1670
AUG-1017,2025-08-11,Mouse,East,Neha,9,245,2205
AUG-1018,2025-08-03,Mouse,South,Vikram,5,353,1765
AUG-1019,2025-08-20,Printer,West,Riya,2,1805,3610
AUG-1020,2025-08-09,Mouse,North,Priya,2,221,442
AUG-1021,2025-08-11,Headphones,West,Arjun,2,461,922
AUG-1022,2025-08-20,Headphones,North,Priya,7,1663,11641
AUG-1023,2025-08-03,Monitor,West,Riya,10,1910,19100
AUG-1024,2025-08-28,Mouse,South,Sneha,9,1080,9720
AUG-1025,2025-08-06,Headphones,West,Sneha,7,1267,8869
AUG-1026,2025-08-28,Tablet,South,Karan,6,246,1476
AUG-1027,2025-08-16,Webcam,East,Karan,3,1516,4548
AUG-1028,2025-08-12,Mouse,East,Priya,10,1012,10120
AUG-1029,2025-08-21,Monitor,East,Amit,5,1124,5620
AUG-1030,2025-08-16,Tablet,North,Neha,7,692,4844
AUG-1031,2025-08-08,Keyboard,West,Arjun,8,877,7016
AUG-1032,2025-08-28,Mouse,East,Karan,10,458,4580
AUG-1033,2025-08-05,Headphones,North,Amit,10,1085,10850
AUG-1034,2025-08-02,Printer,West,Riya,7,1341,9387
AUG-1035,2025-08-09,Laptop,West,Amit,5,673,3365
AUG-1036,2025-08-10,Monitor,West,Neha,9,303,2727
AUG-1037,2025-08-24,Monitor,South,Priya,7,1130,7910
AUG-1038,2025-08-11,Webcam,East,Neha,5,1380,6900
AUG-1039,2025-08-24,Webcam,West,Arjun,10,442,4420
AUG-1040,2025-08-02,Mouse,South,Sneha,9,1319,11871
AUG-1041,2025-08-05,Tablet,North,Priya,3,1229,3687
AUG-1042,2025-08-02,Monitor,North,Sneha,5,1687,8435
AUG-1043,2025-08-12,Tablet,North,Priya,1,1408,1408
AUG-1044,2025-08-25,Keyboard,West,Riya,4,1935,7740
AUG-1045,2025-08-07,Keyboard,West,Vikram,6,566,3396
AUG-1046,2025-08-24,Monitor,West,Amit,6,617,3702
AUG-1047,2025-08-08,Monitor,East,Neha,8,1768,14144
AUG-1048,2025-08-10,Laptop,East,Riya,5,512,2560
AUG-1049,2025-08-14,Printer,East,Arjun,6,256,1536
AUG-1050,2025-08-12,Mouse,West,Vikram,9,880,7920
AUG-1051,2025-08-27,Tablet,North,Riya,1,831,831
AUG-1052,2025-08-08,Printer,West,Neha,9,1910,17190
AUG-1053,2025-08-15,Laptop,East,Vikram,8,599,4792
AUG-1054,2025-08-08,Laptop,South,Amit,10,1070,10700
AUG-1055,2025-08-11,Webcam,South,Amit,1,1607,1607
AUG-1056,2025-08-18,Keyboard,North,Riya,9,1086,9774
AUG-1057,2025-08-09,Laptop,West,Vikram,1,1700,1700
AUG-1058,2025-08-14,Webcam,West,Sneha,2,1625,3250
AUG-1059,2025-08-18,Tablet,West,Vikram,3,215,645
AUG-1060,2025-08-21,Laptop,East,Vikram,7,1161,8127
AUG-1061,2025-08-12,Mouse,West,Priya,8,1456,11648
AUG-1062,2025-08-24,Tablet,North,Amit,10,960,9600
AUG-1063,2025-08-18,Printer,East,Karan,4,1249,4996
AUG-1064,2025-08-16,Tablet,East,Sneha,4,1412,5648
AUG-1065,2025-08-05,Laptop,West,Sneha,1,351,351
AUG-1066,2025-08-26,Tablet,West,Arjun,6,542,3252
AUG-1067,2025-08-01,Monitor,West,Karan,10,1389,13890
AUG-1068,2025-08-01,Printer,North,Sneha,10,422,4220
AUG-1069,2025-08-07,Mouse,South,Amit,7,544,3808
AUG-1070,2025-08-17,Mouse,West,Arjun,5,1128,5640
AUG-1071,2025-08-28,Mouse,South,Riya,2,1380,2760
AUG-1072,2025-08-01,Laptop,North,Neha,5,832,4160
AUG-1073,2025-08-12,Printer,North,Neha,8,1907,15256
AUG-1074,2025-08-20,Laptop,North,Sneha,10,1012,10120
AUG-1075,2025-08-25,Keyboard,West,Sneha,5,847,4235
AUG-1076,2025-08-22,Headphones,South,Riya,1,739,739
AUG-1077,2025-08-20,Printer,South,Karan,5,882,4410
AUG-1078,2025-08-15,Keyboard,South,Priya,7,303,2121
AUG-1079,2025-08-27,Mouse,North,Amit,6,561,3366
AUG-1080,2025-08-04,Tablet,South,Sneha,1,1219,1219
AUG-1081,2025-08-25,Mouse,South,Riya,7,1435,10045
AUG-1082,2025-08-12,Monitor,West,Riya,2,1250,2500
AUG-1083,2025-08-08,Keyboard,South,Arjun,9,848,7632
AUG-1084,2025-08-27,Mouse,East,Riya,4,660,2640
AUG-1085,2025-08-27,Webcam,North,Neha,6,364,2184
AUG-1086,2025-08-28,Printer,North,Sneha,1,1289,1289
AUG-1087,2025-08-26,Tablet,West,Vikram,6,961,5766
AUG-1088,2025-08-19,Webcam,South,Amit,4,1412,5648
AUG-1089,2025-08-05,Laptop,East,Priya,2,1653,3306
AUG-1090,2025-08-06,Mouse,West,Arjun,2,1568,3136
AUG-1091,2025-08-12,Mouse,West,Sneha,9,1062,9558
AUG-1092,2025-08-11,Laptop,North,Amit,1,328,328
AUG-1093,2025-08-12,Laptop,North,Riya,5,1732,8660
AUG-1094,2025-08-02,Mouse,South,Riya,9,1017,9153
AUG-1095,2025-08-08,Tablet,West,Arjun,1,255,255
AUG-1096,2025-08-26,Headphones,East,Amit,6,408,2448
AUG-1097,2025-08-06,Webcam,East,Arjun,4,688,2752
AUG-1098,2025-08-22,Laptop,North,Arjun,6,421,2526
AUG-1099,2025-08-26,Printer,North,Sneha,7,734,5138
AUG-1100,2025-08-18,Mouse,North,Priya,6,736,4416
AUG-1101,2025-08-10,Mouse,West,Neha,8,1501,12008
AUG-1102,2025-08-28,Webcam,North,Amit,1,1700,1700
AUG-1103,2025-08-08,Headphones,South,Arjun,10,409,4090
AUG-1104,2025-08-10,Tablet,South,Arjun,9,851,7659
AUG-1105,2025-08-14,Headphones,West,Priya,7,749,5243
