Order_ID,Date,Product,Region,Salesperson,Units_Sold,Unit_Price,Revenue
DEC-1000,2025-12-09,Keyboard,North,Vikram,2,518,1036
DEC-1001,2025-12-15,Monitor,North,Priya,2,1549,3098
DEC-1002,2025-12-19,Monitor,South,Karan,9,1567,14103
DEC-1003,2025-12-28,Laptop,West,Vikram,5,1939,9695
DEC-1004,2025-12-15,Headphones,West,Amit,3,1293,3879
DEC-1005,2025-12-24,Monitor,South,Riya,3,1581,4743
DEC-1006,2025-12-28,Tablet,East,Amit,10,641,6410
DEC-1007,2025-12-03,Headphones,East,Riya,4,1013,4052
DEC-1008,2025-12-22,Webcam,South,Vikram,9,1569,14121
DEC-1009,2025-12-24,Monitor,West,Sneha,4,1459,5836
DEC-1010,2025-12-13,Tablet,West,Priya,3,202,606
DEC-1011,2025-12-01,Laptop,West,Riya,7,855,5985
DEC-1012,2025-12-07,Headphones,West,Neha,4,1823,7292
DEC-1013,2025-12-07,Monitor,West,Arjun,9,821,7389
DEC-1014,2025-12-21,Mouse,West,Priya,4,500,2000
DEC-1015,2025-12-03,Mouse,West,Amit,7,1227,8589
DEC-1016,2025-12-22,Printer,West,Sneha,10,1749,17490
DEC-1017,2025-12-09,Webcam,North,Amit,7,724,5068
DEC-1018,2025-12-25,Printer,West,Vikram,4,316,1264
DEC-1019,2025-12-24,Webcam,South,Riya,10,1880,18800
DEC-1020,2025-12-06,Headphones,South,Sneha,7,621,4347
DEC-1021,2025-12-14,Webcam,East,Karan,5,1047,5235
DEC-1022,2025-12-22,Monitor,East,Karan,9,1741,15669
DEC-1023,2025-12-06,Printer,South,Vikram,8,1946,15568
DEC-1024,2025-12-01,Mouse,North,Arjun,6,408,2448
DEC-1025,2025-12-16,Webcam,North,Sneha,6,417,2502
DEC-1026,2025-12-16,Monitor,North,Arjun,10,1471,14710
DEC-1027,2025-12-13,Tablet,South,Priya,8,540,4320
DEC-1028,2025-12-14,Printer,West,Sneha,8,1134,9072
DEC-1029,2025-12-06,Headphones,North,Riya,6,1253,7518
DEC-1030,2025-12-07,Keyboard,East,Riya,3,1688,5064
DEC-1031,2025-12-08,Monitor,East,Vikram,7,800,5600
DEC-1032,2025-12-11,Headphones,East,Neha,8,1872,14976
DEC-1033,2025-12-26,Mouse,South,Arjun,8,602,4816
DEC-1034,2025-12-24,Keyboard,South,Neha,1,322,322
DEC-1035,2025-12-07,Webcam,North,Arjun,4,792,3168
DEC-1036,2025-12-27,Headphones,West,Vikram,3,1725,5175
DEC-1037,2025-12-14,Tablet,South,Arjun,6,712,4272
DEC-1038,2025-12-10,Monitor,West,Karan,7,1742,12194
DEC-1039,2025-12-28,Webcam,South,Karan,7,1254,8778
DEC-1040,2025-12-02,Mouse,South,Amit,9,1780,16020
DEC-1041,2025-12-19,Webcam,East,Karan,3,1990,5970
DEC-1042,2025-12-18,Headphones,West,Arjun,8,808,6464
DEC-1043,2025-12-06,Headphones,West,Neha,5,1284,6420
DEC-1044,2025-12-06,Laptop,North,Arjun,4,1785,7140
DEC-1045,2025-12-05,Headphones,South,Karan,9,917,8253
DEC-1046,2025-12-12,Headphones,North,Vikram,8,1557,12456
DEC-1047,2025-12-08,Keyboard,South,Sneha,3,216,648
DEC-1048,2025-12-21,Tablet,West,Sneha,10,672,6720
DEC-1049,2025-12-01,Laptop,East,Arjun,7,1206,8442
DEC-1050,2025-12-21,Laptop,East,Vikram,9,290,2610
DEC-1051,2025-12-23,Tablet,North,Sneha,5,1381,6905
DEC-1052,2025-12-19,Headphones,West,Karan,1,864,864
DEC-1053,2025-12-19,Tablet,West,Karan,4,694,2776
DEC-1054,2025-12-11,Headphones,South,Amit,7,1030,7210
DEC-1055,2025-12-11,Mouse,South,Vikram,10,640,6400
DEC-1056,2025-12-28,Printer,South,Arjun,8,1271,10168
DEC-1057,2025-12-19,Webcam,South,Karan,8,797,6376
DEC-1058,2025-12-24,Webcam,West,Sneha,7,1110,7770
DEC-1059,2025-12-03,Monitor,North,Sneha,4,1210,4840
DEC-1060,2025-12-23,Keyboard,West,Amit,4,761,3044
DEC-1061,2025-12-24,Tablet,South,Riya,1,987,987
DEC-1062,2025-12-01,Printer,South,Sneha,1,483,483
DEC-1063,2025-12-19,Mouse,North,Riya,10,1848,18480
DEC-1064,2025-12-27,Keyboard,West,Karan,2,564,1128
DEC-1065,2025-12-04,Mouse,West,Vikram,1,945,945
DEC-1066,2025-12-09,Tablet,North,Riya,9,1531,13779
