Order_ID,Date,Product,Region,Salesperson,Units_Sold,Unit_Price,Revenue
FEB-1000,2025-02-12,Keyboard,East,Riya,10,543,5430
FEB-1001,2025-02-19,Headphones,South,Amit,10,1699,16990
FEB-1002,2025-02-14,Laptop,North,Vikram,3,1547,4641
FEB-1003,2025-02-18,Printer,North,Riya,2,751,1502
FEB-1004,2025-02-03,Keyboard,East,Amit,2,836,1672
FEB-1005,2025-02-27,Printer,South,Amit,1,1513,1513
FEB-1006,2025-02-04,Laptop,West,Priya,5,1141,5705
FEB-1007,2025-02-10,Monitor,West,Amit,10,215,2150
FEB-1008,2025-02-21,Tablet,South,Sneha,7,1879,13153
FEB-1009,2025-02-18,Printer,East,Karan,6,619,3714
FEB-1010,2025-02-23,Laptop,North,Karan,3,1742,5226
FEB-1011,2025-02-28,Keyboard,North,Sneha,1,238,238
FEB-1012,2025-02-06,Monitor,North,Vikram,5,1427,7135
FEB-1013,2025-02-11,Mouse,North,Priya,9,1636,14724
FEB-1014,2025-02-04,Keyboard,East,Neha,5,1291,6455
FEB-1015,2025-02-21,Mouse,East,Sneha,10,629,6290
FEB-1016,2025-02-21,Mouse,West,Riya,8,1147,9176
FEB-1017,2025-02-08,Printer,West,Riya,1,312,312
FEB-1018,2025-02-26,Webcam,South,Arjun,5,1297,6485
FEB-1019,2025-02-16,Printer,East,Amit,9,891,8019
FEB-1020,2025-02-13,Printer,North,Riya,4,1484,5936
FEB-1021,2025-02-16,Printer,East,Neha,9,862,7758
FEB-1022,2025-02-01,Monitor,South,Arjun,9,1054,9486
FEB-1023,2025-02-07,Headphones,North,Arjun,3,280,840
FEB-1024,2025-02-19,Mouse,West,Neha,3,406,1218
FEB-1025,2025-02-20,Tablet,South,Sneha,10,798,7980
FEB-1026,2025-02-11,Monitor,South,Amit,6,1655,9930
FEB-1027,2025-02-12,Tablet,West,Vikram,6,512,3072
FEB-1028,2025-02-01,Tablet,North,Neha,10,1763,17630
FEB-1029,2025-02-05,Mouse,South,Riya,9,1593,14337
FEB-1030,2025-02-09,Laptop,South,Vikram,9,735,6615
FEB-1031,2025-02-22,Laptop,South,Neha,1,1899,1899
FEB-1032,2025-02-26,Webcam,North,Neha,6,1184,7104
FEB-1033,2025-02-26,Laptop,North,Karan,8,1204,9632
FEB-1034,2025-02-09,Tablet,West,Neha,7,781,5467
