Order_ID,Date,Product,Region,Salesperson,Units_Sold,Unit_Price,Revenue
JAN-1000,2025-01-04,Laptop,South,Riya,7,1547,10829
JAN-1001,2025-01-19,Monitor,North,Neha,9,1531,13779
JAN-1002,2025-01-19,Tablet,South,Neha,1,1487,1487
JAN-1003,2025-01-23,Mouse,East,Arjun,9,1638,14742
JAN-1004,2025-01-06,Laptop,South,Vikram,6,426,2556
JAN-1005,2025-01-19,Printer,East,Sneha,4,1125,4500
JAN-1006,2025-01-15,Tablet,South,Arjun,4,804,3216
JAN-1007,2025-01-23,Webcam,South,Sneha,7,1570,10990
JAN-1008,2025-01-01,Keyboard,West,Priya,5,1655,8275
JAN-1009,2025-01-04,Mouse,North,Riya,9,543,4887
JAN-1010,2025-01-06,Webcam,North,Arjun,1,824,824
JAN-1011,2025-01-13,Mouse,West,Arjun,1,1962,1962
JAN-1012,2025-01-07,Headphones,North,Riya,10,1705,17050
JAN-1013,2025-01-09,Webcam,West,Priya,6,1016,6096
JAN-1014,2025-01-14,Headphones,North,Sneha,7,1752,12264
JAN-1015,2025-01-12,Headphones,North,Sneha,2,574,1148
JAN-1016,2025-01-27,Keyboard,South,Karan,4,767,3068
JAN-1017,2025-01-01,Keyboard,North,Riya,1,910,910
JAN-1018,2025-01-06,Monitor,East,Arjun,7,414,2898
JAN-1019,2025-01-12,Laptop,West,Arjun,2,1397,2794
JAN-1020,2025-01-28,Webcam,West,Karan,8,1581,12648
JAN-1021,2025-01-12,Tablet,South,Sneha,4,1293,5172
JAN-1022,2025-01-27,Mouse,North,Neha,4,1890,7560
JAN-1023,2025-01-17,Monitor,North,Amit,7,687,4809
JAN-1024,2025-01-24,Printer,West,Karan,8,1136,9088
JAN-1025,2025-01-01,Laptop,West,Arjun,4,1787,7148
JAN-1026,2025-01-18,Laptop,South,Riya,7,922,6454
JAN-1027,2025-01-15,Keyboard,East,Amit,4,918,3672
JAN-1028,2025-01-14,Headphones,East,Sneha,2,1648,3296
JAN-1029,2025-01-09,Monitor,West,Sneha,1,1621,1621
JAN-1030,2025-01-09,Printer,South,Sneha,1,1007,1007
JAN-1031,2025-01-26,Keyboard,South,Riya,5,207,1035
JAN-1032,2025-01-28,Laptop,North,Vikram,6,1042,6252
JAN-1033,2025-01-09,Keyboard,North,Riya,1,581,581
JAN-1034,2025-01-27,Headphones,East,Riya,9,760,6840
JAN-1035,2025-01-20,Webcam,West,Karan,6,280,1680
JAN-1036,2025-01-16,Mouse,West,Riya,3,1230,3690
JAN-1037,2025-01-10,Printer,East,Amit,7,1509,10563
JAN-1038,2025-01-08,Printer,North,Sneha,7,508,3556
JAN-1039,2025-01-27,Monitor,East,Amit,5,1005,5025
JAN-1040,2025-01-06,Webcam,East,Riya,4,816,3264
JAN-1041,2025-01-03,Mouse,East,Vikram,5,1072,5360
JAN-1042,2025-01-16,Keyboard,East,Amit,9,1858,16722
JAN-1043,2025-01-26,Printer,South,Priya,6,1534,9204
JAN-1044,2025-01-18,Tablet,East,Vikram,1,775,775
JAN-1045,2025-01-02,Mouse,South,Priya,7,785,5495
JAN-1046,2025-01-04,Laptop,South,Arjun,1,728,728
JAN-1047,2025-01-26,Keyboard,West,Neha,3,1385,4155
JAN-1048,2025-01-19,Tablet,South,Vikram,8,897,7176
JAN-1049,2025-01-28,Mouse,West,Riya,4,241,964
JAN-1050,2025-01-15,Headphones,North,Karan,6,623,3738
JAN-1051,2025-01-07,Tablet,South,Karan,6,535,3210
JAN-1052,2025-01-07,Printer,West,Vikram,6,1979,11874
JAN-1053,2025-01-20,Headphones,North,Vikram,5,1773,8865
JAN-1054,2025-01-09,Laptop,East,Vikram,5,1790,8950
JAN-1055,2025-01-18,Keyboard,West,Arjun,5,1964,9820
JAN-1056,2025-01-22,Keyboard,East,Vikram,1,947,947
JAN-1057,2025-01-05,Webcam,East,Arjun,9,1791,16119
JAN-1058,2025-01-19,Monitor,East,Priya,5,772,3860
JAN-1059,2025-01-28,Tablet,South,Riya,7,1693,11851
JAN-1060,2025-01-07,Laptop,South,Amit,2,1498,2996
JAN-1061,2025-01-10,Headphones,West,Priya,8,237,1896
JAN-1062,2025-01-27,Headphones,North,Neha,3,589,1767
JAN-1063,2025-01-10,Headphones,West,Arjun,5,701,3505
JAN-1064,2025-01-28,Monitor,East,Karan,8,929,7432
JAN-1065,2025-01-06,Tablet,West,Karan,2,1544,3088
JAN-1066,2025-01-15,Tablet,West,Vikram,5,1162,5810
JAN-1067,2025-01-24,Headphones,West,Priya,5,927,4635
JAN-1068,2025-01-13,Mouse,East,Karan,6,1017,6102
JAN-1069,2025-01-12,Printer,West,Karan,1,1836,1836
JAN-1070,2025-01-19,Webcam,East,Karan,6,1496,8976
JAN-1071,2025-01-20,Webcam,East,Priya,3,1891,5673
JAN-1072,2025-01-09,Printer,East,Vikram,4,1595,6380
JAN-1073,2025-01-23,Webcam,South,Riya,8,1296,10368
JAN-1074,2025-01-24,Keyboard,West,Amit,5,301,1505
JAN-1075,2025-01-02,Tablet,South,Riya,6,1653,9918
JAN-1076,2025-01-04,Keyboard,North,Neha,5,389,1945
JAN-1077,2025-01-24,Printer,South,Amit,7,479,3353
JAN-1078,2025-01-07,Keyboard,South,Vikram,2,564,1128
JAN-1079,2025-01-11,Mouse,North,Arjun,3,465,1395
JAN-1080,2025-01-24,Keyboard,West,Priya,9,1893,17037
JAN-1081,2025-01-19,Printer,East,Vikram,9,1622,14598
JAN-1082,2025-01-27,Monitor,West,Sneha,6,1275,7650
JAN-1083,2025-01-10,Printer,South,Neha,3,1116,3348
JAN-1084,2025-01-01,Keyboard,West,Vikram,1,284,284
JAN-1085,2025-01-17,Headphones,East,Amit,5,553,2765
JAN-1086,2025-01-02,Tablet,East,Vikram,5,261,1305
JAN-1087,2025-01-25,Mouse,North,Arjun,3,785,2355
JAN-1088,2025-01-27,Tablet,North,Neha,3,1894,5682
JAN-1089,2025-01-20,Tablet,North,Vikram,9,1903,17127
JAN-1090,2025-01-15,Tablet,South,Riya,1,1044,1044
JAN-1091,2025-01-05,Printer,East,Sneha,7,1832,12824
JAN-1092,2025-01-22,Tablet,North,Amit,5,1386,6930
JAN-1093,2025-01-22,Laptop,North,Arjun,6,1327,7962
JAN-1094,2025-01-04,Laptop,North,Sneha,7,1882,13174
JAN-1095,2025-01-18,Mouse,North,Amit,3,231,693
JAN-1096,2025-01-24,Mouse,South,Priya,6,1099,6594
JAN-1097,2025-01-21,Mouse,South,Karan,8,1511,12088
JAN-1098,2025-01-11,Monitor,South,Vikram,10,540,5400
JAN-1099,2025-01-11,Headphones,West,Arjun,8,746,5968
JAN-1100,2025-01-10,Laptop,East,Riya,8,1556,12448
JAN-1101,2025-01-09,Laptop,South,Amit,5,1303,6515
JAN-1102,2025-01-11,Printer,North,Sneha,10,713,7130
JAN-1103,2025-01-13,Headphones,West,Arjun,5,1352,6760
JAN-1104,2025-01-03,Printer,South,Amit,5,1240,6200
JAN-1105,2025-01-14,Laptop,East,Sneha,7,731,5117
JAN-1106,2025-01-04,Webcam,North,Neha,2,1835,3670
JAN-1107,2025-01-10,Printer,South,Amit,3,1264,3792
JAN-1108,2025-01-26,Monitor,West,Neha,8,451,3608
JAN-1109,2025-01-22,Printer,North,Amit,9,1557,14013
JAN-1110,2025-01-17,Monitor,South,Arjun,10,512,5120
JAN-1111,2025-01-18,Printer,North,Priya,2,946,1892
JAN-1112,2025-01-09,Printer,East,Neha,10,1631,16310
JAN-1113,2025-01-28,Tablet,West,Vikram,4,645,2580
JAN-1114,2025-01-18,Mouse,North,Sneha,10,677,6770
JAN-1115,2025-01-15,Headphones,West,Vikram,8,1398,11184
JAN-1116,2025-01-20,Laptop,North,Vikram,4,1840,7360
JAN-1117,2025-01-11,Mouse,East,Priya,3,1628,4884
