Order_ID,Date,Product,Region,Salesperson,Units_Sold,Unit_Price,Revenue
JUL-1000,2025-07-04,Mouse,South,Priya,1,1157,1157
JUL-1001,2025-07-15,Keyboard,North,Vikram,6,1946,11676
JUL-1002,2025-07-25,Webcam,North,Sneha,3,1358,4074
JUL-1003,2025-07-09,Webcam,East,Riya,1,585,585
JUL-1004,2025-07-12,Printer,South,Amit,9,1272,11448
JUL-1005,2025-07-12,Laptop,West,Vikram,1,1883,1883
JUL-1006,2025-07-22,Keyboard,East,Riya,3,1192,3576
JUL-1007,2025-07-26,Keyboard,West,Neha,4,652,2608
JUL-1008,2025-07-24,Headphones,South,Karan,5,698,3490
JUL-1009,2025-07-13,Mouse,West,Arjun,4,1480,5920
JUL-1010,2025-07-19,Headphones,South,Arjun,5,986,4930
JUL-1011,2025-07-25,Laptop,East,Riya,1,995,995
JUL-1012,2025-07-24,Webcam,South,Riya,3,1723,5169
JUL-1013,2025-07-07,Laptop,North,Sneha,4,1732,6928
JUL-1014,2025-07-24,Tablet,East,Sneha,2,450,900
JUL-1015,2025-07-10,Webcam,East,Arjun,4,974,3896
JUL-1016,2025-07-17,Tablet,North,Karan,9,1598,14382
JUL-1017,2025-07-08,Monitor,West,Riya,5,641,3205
JUL-1018,2025-07-22,Keyboard,South,Amit,5,1650,8250
JUL-1019,2025-07-26,Mouse,East,Riya,5,1595,7975
JUL-1020,2025-07-22,Keyboard,South,Karan,3,1511,4533
JUL-1021,2025-07-15,Headphones,South,Priya,6,1287,7722
JUL-1022,2025-07-21,Laptop,East,Neha,8,791,6328
JUL-1023,2025-07-23,Headphones,South,Priya,10,1208,12080
JUL-1024,2025-07-19,Mouse,East,Vikram,9,1975,17775
JUL-1025,2025-07-17,Webcam,West,Amit,1,378,378
JUL-1026,2025-07-21,Tablet,East,Riya,3,986,2958
JUL-1027,2025-07-27,Keyboard,East,Priya,2,1973,3946
JUL-1028,2025-07-25,Printer,East,Arjun,10,1094,10940
JUL-1029,2025-07-03,Keyboard,East,Vikram,7,1687,11809
JUL-1030,2025-07-20,Webcam,North,Priya,1,1004,1004
JUL-1031,2025-07-19,Keyboard,South,Arjun,2,1417,2834
JUL-1032,2025-07-22,Mouse,West,Arjun,8,1210,9680
JUL-1033,2025-07-27,Headphones,East,Arjun,4,1667,6668
JUL-1034,2025-07-14,Mouse,West,Neha,7,357,2499
JUL-1035,2025-07-10,Tablet,East,Karan,7,900,6300
JUL-1036,2025-07-06,Tablet,South,Vikram,10,1517,15170
JUL-1037,2025-07-12,Printer,South,Amit,4,687,2748
JUL-1038,2025-07-27,Printer,West,Karan,6,352,2112
JUL-1039,2025-07-03,Keyboard,South,Riya,4,1978,7912
JUL-1040,2025-07-18,Keyboard,South,Priya,9,1626,14634
JUL-1041,2025-07-25,Printer,West,Arjun,3,1251,3753
JUL-1042,2025-07-28,Mouse,South,Riya,9,1730,15570
JUL-1043,2025-07-12,Headphones,West,Amit,5,1650,8250
JUL-1044,2025-07-18,Printer,North,Arjun,2,599,1198
JUL-1045,2025-07-20,Keyboard,North,Amit,9,519,4671
JUL-1046,2025-07-26,Monitor,South,Arjun,10,1291,12910
JUL-1047,2025-07-24,Monitor,West,Vikram,2,1636,3272
JUL-1048,2025-07-07,Keyboard,North,Priya,4,1150,4600
JUL-1049,2025-07-26,Tablet,East,Vikram,7,530,3710
JUL-1050,2025-07-22,Mouse,West,Arjun,10,1036,10360
JUL-1051,2025-07-19,Printer,South,Amit,2,264,528
JUL-1052,2025-07-15,Printer,East,Priya,1,1849,1849
JUL-1053,2025-07-01,Webcam,South,Priya,9,556,5004
JUL-1054,2025-07-28,Monitor,South,Karan,1,1670,1670
JUL-1055,2025-07-08,Headphones,North,Riya,9,1156,10404
JUL-1056,2025-07-21,Keyboard,North,Priya,10,1443,14430
JUL-1057,2025-07-03,Webcam,North,Vikram,1,1455,1455
JUL-1058,2025-07-18,Mouse,South,Amit,10,1769,17690
JUL-1059,2025-07-09,Tablet,West,Sneha,3,1038,3114
JUL-1060,2025-07-07,Monitor,East,Sneha,8,569,4552
JUL-1061,2025-07-11,Keyboard,East,Priya,1,1822,1822
JUL-1062,2025-07-28,Tablet,East,Amit,3,1101,3303
JUL-1063,2025-07-23,Tablet,South,Sneha,7,1863,13041
JUL-1064,2025-07-15,Printer,South,Sneha,9,1423,12807
JUL-1065,2025-07-10,Laptop,West,Neha,1,1170,1170
JUL-1066,2025-07-17,Tablet,South,Arjun,5,788,3940
JUL-1067,2025-07-12,Monitor,East,Vikram,8,1126,9008
JUL-1068,2025-07-06,Headphones,West,Sneha,6,1303,7818
JUL-1069,2025-07-21,Tablet,South,Karan,4,1276,5104
JUL-1070,2025-07-26,Laptop,East,Neha,2,1709,3418
JUL-1071,2025-07-26,Keyboard,East,Amit,10,1173,11730
JUL-1072,2025-07-08,Monitor,West,Karan,2,593,1186
JUL-1073,2025-07-05,Tablet,East,Amit,10,1050,10500
JUL-1074,2025-07-03,Laptop,West,Amit,2,540,1080
JUL-1075,2025-07-02,Tablet,North,Neha,7,1196,8372
JUL-1076,2025-07-13,Webcam,East,Priya,9,577,5193
JUL-1077,2025-07-24,Tablet,East,Priya,4,1893,7572
JUL-1078,2025-07-21,Printer,North,Karan,7,1720,12040
JUL-1079,2025-07-25,Laptop,West,Amit,5,1138,5690
JUL-1080,2025-07-11,Webcam,West,Amit,5,1436,7180
JUL-1081,2025-07-07,Mouse,South,Riya,2,1392,2784
JUL-1082,2025-07-13,Headphones,East,Arjun,1,1951,1951
JUL-1083,2025-07-10,Mouse,South,Sneha,10,893,8930
JUL-1084,2025-07-25,Printer,South,Karan,9,1895,17055
JUL-1085,2025-07-14,Webcam,North,Amit,10,1832,18320
JUL-1086,2025-07-21,Keyboard,East,Vikram,3,1912,5736
JUL-1087,2025-07-04,Headphones,North,Arjun,9,961,8649
JUL-1088,2025-07-08,Webcam,North,Vikram,3,425,1275
JUL-1089,2025-07-16,Mouse,South,Amit,8,1444,11552
JUL-1090,2025-07-23,Laptop,East,Arjun,7,313,2191
JUL-1091,2025-07-07,Keyboard,South,Priya,9,1822,16398
JUL-1092,2025-07-03,Keyboard,North,Arjun,2,1269,2538
JUL-1093,2025-07-10,Keyboard,South,Vikram,8,1427,11416
JUL-1094,2025-07-02,Headphones,West,Sneha,4,1398,5592
JUL-1095,2025-07-08,Webcam,South,Amit,9,914,8226
JUL-1096,2025-07-19,Keyboard,North,Arjun,8,1101,8808
JUL-1097,2025-07-24,Tablet,East,Karan,5,1081,5405
JUL-1098,2025-07-19,Monitor,East,Riya,4,1829,7316
JUL-1099,2025-07-08,Monitor,North,Sneha,8,1522,12176
JUL-1100,2025-07-15,Monitor,West,Priya,8,1788,14304
JUL-1101,2025-07-05,Laptop,East,Neha,8,1783,14264
JUL-1102,2025-07-07,Printer,East,Karan,8,233,1864
JUL-1103,2025-07-14,Laptop,West,Sneha,8,324,2592
JUL-1104,2025-07-15,Printer,East,Vikram,10,425,4250
JUL-1105,2025-07-02,Headphones,North,Riya,8,812,6496
JUL-1106,2025-07-27,Printer,East,Vikram,5,1185,5925
JUL-1107,2025-07-04,Keyboard,North,Amit,1,988,988
JUL-1108,2025-07-18,Headphones,West,Riya,2,1672,3344
JUL-1109,2025-07-06,Printer,East,Riya,8,1570,12560
JUL-1110,2025-07-17,Mouse,South,Riya,2,1599,3198
JUL-1111,2025-07-07,Tablet,South,Karan,7,983,6881
JUL-1112,2025-07-02,Headphones,East,Riya,5,733,3665
JUL-1113,2025-07-08,Monitor,South,Riya,6,1314,7884
JUL-1114,2025-07-15,Laptop,West,Neha,5,1414,7070
JUL-1115,2025-07-11,Headphones,West,Karan,3,548,1644
JUL-1116,2025-07-01,Printer,South,Vikram,10,851,8510
JUL-1117,2025-07-01,Keyboard,North,Amit,7,1144,8008
JUL-1118,2025-07-15,Tablet,North,Amit,9,1449,13041
JUL-1119,2025-07-04,Headphones,West,Sneha,2,1236,2472
JUL-1120,2025-07-05,Keyboard,East,Neha,2,612,1224
JUL-1121,2025-07-13,Tablet,South,Sneha,8,1237,9896
JUL-1122,2025-07-18,Laptop,East,Amit,4,1594,6376
JUL-1123,2025-07-01,Webcam,North,Priya,2,1542,3084
JUL-1124,2025-07-23,Mouse,West,Sneha,7,692,4844
JUL-1125,2025-07-20,Webcam,East,Riya,2,635,1270
JUL-1126,2025-07-16,Mouse,South,Riya,8,326,2608
JUL-1127,2025-07-20,Tablet,South,Vikram,9,1362,12258
JUL-1128,2025-07-05,Keyboard,West,Sneha,10,1801,18010
JUL-1129,2025-07-05,Headphones,North,Karan,10,1306,13060
JUL-1130,2025-07-24,Mouse,North,Neha,1,1451,1451
JUL-1131,2025-07-10,Webcam,South,Karan,4,1781,7124
JUL-1132,2025-07-19,Monitor,North,Amit,7,1535,10745
JUL-1133,2025-07-27,Keyboard,East,Amit,8,1028,8224
JUL-1134,2025-07-02,Printer,South,Vikram,1,1476,1476
JUL-1135,2025-07-19,Mouse,North,Riya,3,811,2433
JUL-1136,2025-07-16,Webcam,South,Karan,2,1126,2252
JUL-1137,2025-07-20,Keyboard,East,Neha,6,877,5262
JUL-1138,2025-07-28,Headphones,North,Sneha,1,1851,1851
JUL-1139,2025-07-27,Webcam,West,Sneha,4,782,3128
JUL-1140,2025-07-08,Tablet,South,Karan,1,1977,1977
JUL-1141,2025-07-01,Tablet,North,Arjun,3,1667,5001
JUL-1142,2025-07-18,Laptop,South,Sneha,8,1583,12664
JUL-1143,2025-07-23,Laptop,West,Vikram,7,312,2184
JUL-1144,2025-07-22,Printer,North,Riya,4,1853,7412
JUL-1145,2025-07-15,Printer,South,Arjun,2,1891,3782
JUL-1146,2025-07-12,Mouse,North,Vikram,8,1507,12056
JUL-1147,2025-07-19,Laptop,North,Amit,8,788,6304
JUL-1148,2025-07-22,Laptop,North,Sneha,7,1298,9086
JUL-1149,2025-07-12,Webcam,South,Priya,9,1448,13032
JUL-1150,2025-07-27,Tablet,South,Amit,9,1799,16191
JUL-1151,2025-07-05,Monitor,North,Priya,3,538,1614
JUL-1152,2025-07-10,Keyboard,North,Arjun,5,873,4365
JUL-1153,2025-07-20,Tablet,North,Arjun,8,1457,11656
JUL-1154,2025-07-03,Keyboard,North,Amit,7,860,6020
JUL-1155,2025-07-20,Printer,South,Karan,5,1549,7745
JUL-1156,2025-07-19,Mouse,South,Riya,7,502,3514
JUL-1157,2025-07-25,Tablet,West,Karan,7,997,6979
JUL-1158,2025-07-10,Printer,West,Priya,9,363,3267
JUL-1159,2025-07-07,Headphones,South,Amit,8,1222,9776
JUL-1160,2025-07-04,Laptop,North,Amit,1,1873,1873
JUL-1161,2025-07-06,Keyboard,West,Neha,3,1703,5109
