Order_ID,Date,Product,Region,Salesperson,Units_Sold,Unit_Price,Revenue
JUN-1000,2025-06-07,Printer,East,Amit,2,1633,3266
JUN-1001,2025-06-08,Headphones,South,Neha,1,357,357
JUN-1002,2025-06-27,Printer,West,Arjun,1,664,664
JUN-1003,2025-06-06,Mouse,South,Vikram,4,1950,7800
JUN-1004,2025-06-21,Printer,East,Amit,6,1001,6006
JUN-1005,2025-06-06,Monitor,South,Karan,7,1569,10983
JUN-1006,2025-06-17,Tablet,East,Riya,2,304,608
JUN-1007,2025-06-04,Tablet,North,Karan,2,1586,3172
JUN-1008,2025-06-12,Laptop,North,Riya,7,1512,10584
JUN-1009,2025-06-21,Mouse,South,Amit,7,1399,9793
JUN-1010,2025-06-26,Printer,North,Arjun,7,1549,10843
JUN-1011,2025-06-12,Mouse,South,Karan,6,1376,8256
JUN-1012,2025-06-04,Webcam,North,Riya,10,1986,19860
JUN-1013,2025-06-24,Laptop,West,Vikram,10,1066,10660
JUN-1014,2025-06-22,Webcam,South,Priya,10,1817,18170
JUN-1015,2025-06-03,Keyboard,East,Karan,7,1390,9730
JUN-1016,2025-06-27,Tablet,South,Riya,4,321,1284
JUN-1017,2025-06-05,Webcam,South,Sneha,3,1969,5907
JUN-1018,2025-06-14,Tablet,West,Amit,10,1258,12580
JUN-1019,2025-06-26,Laptop,North,Arjun,1,550,550
JUN-1020,2025-06-20,Tablet,West,Amit,5,918,4590
JUN-1021,2025-06-07,Headphones,East,Amit,4,616,2464
JUN-1022,2025-06-17,Printer,North,Riya,6,1331,7986
JUN-1023,2025-06-04,Mouse,North,Vikram,1,1871,1871
JUN-1024,2025-06-06,Keyboard,West,Sneha,7,1404,9828
JUN-1025,2025-06-23,Keyboard,West,Riya,9,1152,10368
JUN-1026,2025-06-11,Keyboard,East,Riya,8,462,3696
JUN-1027,2025-06-07,Headphones,North,Vikram,10,1610,16100
JUN-1028,2025-06-06,Laptop,East,Arjun,10,1627,16270
JUN-1029,2025-06-06,Tablet,West,Priya,5,1614,8070
JUN-1030,2025-06-23,Monitor,South,Neha,9,768,6912
JUN-1031,2025-06-17,Webcam,East,Sneha,8,1014,8112
JUN-1032,2025-06-04,Headphones,North,Vikram,5,474,2370
JUN-1033,2025-06-17,Headphones,West,Vikram,1,844,844
JUN-1034,2025-06-07,Laptop,East,Riya,1,448,448
JUN-1035,2025-06-04,Printer,West,Riya,2,718,1436
JUN-1036,2025-06-16,Laptop,East,Vikram,7,1852,12964
JUN-1037,2025-06-16,Printer,North,Arjun,10,899,8990
JUN-1038,2025-06-10,Keyboard,North,Amit,10,615,6150
JUN-1039,2025-06-10,Webcam,North,Arjun,5,1297,6485
JUN-1040,2025-06-01,Keyboard,North,Neha,1,969,969
JUN-1041,2025-06-18,Webcam,East,Neha,10,572,5720
JUN-1042,2025-06-01,Printer,East,Karan,6,548,3288
JUN-1043,2025-06-11,Webcam,North,Karan,10,469,4690
JUN-1044,2025-06-06,Tablet,West,Amit,1,942,942
JUN-1045,2025-06-20,Mouse,North,Sneha,5,1539,7695
JUN-1046,2025-06-10,Keyboard,South,Sneha,5,1415,7075
JUN-1047,2025-06-26,Headphones,East,Riya,4,1281,5124
JUN-1048,2025-06-12,Tablet,West,Arjun,5,1710,8550
JUN-1049,2025-06-10,Keyboard,South,Priya,7,860,6020
JUN-1050,2025-06-08,Laptop,North,Amit,9,1673,15057
JUN-1051,2025-06-03,Laptop,West,Arjun,5,1652,8260
JUN-1052,2025-06-13,Headphones,North,Sneha,6,225,1350
JUN-1053,2025-06-03,Headphones,East,Arjun,7,1543,10801
JUN-1054,2025-06-04,Tablet,East,Neha,4,811,3244
JUN-1055,2025-06-17,Mouse,East,Neha,6,1480,8880
JUN-1056,2025-06-10,Webcam,South,Karan,9,1056,9504
JUN-1057,2025-06-02,Headphones,South,Arjun,3,1463,4389
JUN-1058,2025-06-24,Webcam,West,Amit,7,1212,8484
JUN-1059,2025-06-05,Tablet,South,Neha,5,751,3755
JUN-1060,2025-06-04,Headphones,North,Neha,1,581,581
JUN-1061,2025-06-17,Printer,North,Priya,1,1365,1365
JUN-1062,2025-06-17,Keyboard,East,Riya,3,1800,5400
JUN-1063,2025-06-22,Monitor,South,Priya,8,1025,8200
JUN-1064,2025-06-11,Headphones,North,Sneha,10,452,4520
JUN-1065,2025-06-26,Monitor,North,Priya,2,581,1162
JUN-1066,2025-06-14,Headphones,North,Vikram,6,930,5580
JUN-1067,2025-06-11,Headphones,North,Riya,4,719,2876
JUN-1068,2025-06-23,Headphones,West,Amit,2,562,1124
JUN-1069,2025-06-04,Laptop,South,Sneha,8,1893,15144
JUN-1070,2025-06-06,Printer,South,Karan,6,1809,10854
JUN-1071,2025-06-04,Keyboard,East,Priya,10,1190,11900
JUN-1072,2025-06-04,Monitor,North,Neha,1,1623,1623
JUN-1073,2025-06-10,Printer,West,Karan,5,1479,7395
JUN-1074,2025-06-21,Laptop,South,Vikram,8,1761,14088
JUN-1075,2025-06-22,Printer,West,Priya,6,1629,9774
JUN-1076,2025-06-25,Headphones,East,Neha,3,1174,3522
JUN-1077,2025-06-07,Keyboard,East,Sneha,6,472,2832
JUN-1078,2025-06-25,Mouse,East,Sneha,3,1977,5931
JUN-1079,2025-06-27,Keyboard,South,Karan,1,897,897
JUN-1080,2025-06-17,Headphones,North,Riya,7,1186,8302
JUN-1081,2025-06-27,Laptop,South,Arjun,3,1247,3741
JUN-1082,2025-06-22,Headphones,West,Sneha,8,1627,13016
JUN-1083,2025-06-25,Printer,North,Neha,2,892,1784
JUN-1084,2025-06-11,Monitor,East,Karan,6,1879,11274
JUN-1085,2025-06-04,Laptop,South,Vikram,5,442,2210
JUN-1086,2025-06-06,Headphones,West,Priya,4,839,3356
JUN-1087,2025-06-11,Laptop,South,Riya,10,542,5420
JUN-1088,2025-06-17,Printer,North,Sneha,7,274,1918
JUN-1089,2025-06-04,Tablet,North,Sneha,3,1973,5919
JUN-1090,2025-06-17,Laptop,South,Karan,4,1258,5032
JUN-1091,2025-06-16,Monitor,South,Neha,10,664,6640
JUN-1092,2025-06-18,Laptop,West,Arjun,10,880,8800
JUN-1093,2025-06-23,Printer,East,Amit,4,1331,5324
JUN-1094,2025-06-11,Tablet,South,Arjun,6,743,4458
JUN-1095,2025-06-28,Headphones,West,Neha,6,1963,11778
JUN-1096,2025-06-25,Printer,South,Arjun,4,503,2012
JUN-1097,2025-06-20,Keyboard,South,Riya,7,1264,8848
JUN-1098,2025-06-01,Webcam,West,Riya,2,1006,2012
JUN-1099,2025-06-01,Webcam,West,Priya,7,1410,9870
JUN-1100,2025-06-25,Monitor,West,Neha,7,1761,12327
JUN-1101,2025-06-08,Keyboard,East,Riya,3,1961,5883
JUN-1102,2025-06-09,Webcam,West,Vikram,3,1800,5400
JUN-1103,2025-06-05,Keyboard,West,Karan,10,1867,18670
JUN-1104,2025-06-11,Webcam,East,Neha,1,1712,1712
JUN-1105,2025-06-16,Tablet,West,Priya,7,1022,7154
JUN-1106,2025-06-24,Monitor,North,Arjun,7,1313,9191
JUN-1107,2025-06-07,Keyboard,North,Priya,4,269,1076
