Order_ID,Date,Product,Region,Salesperson,Units_Sold,Unit_Price,Revenue
MAR-1000,2025-03-23,Mouse,South,Sneha,6,858,5148
MAR-1001,2025-03-28,Mouse,East,Amit,8,763,6104
MAR-1002,2025-03-11,Laptop,South,Riya,10,809,8090
MAR-1003,2025-03-24,Monitor,North,Vikram,5,1320,6600
MAR-1004,2025-03-26,Webcam,North,Karan,1,1407,1407
MAR-1005,2025-03-18,Monitor,North,Priya,3,977,2931
MAR-1006,2025-03-12,Headphones,East,Priya,5,1051,5255
MAR-1007,2025-03-03,Printer,North,Arjun,2,887,1774
MAR-1008,2025-03-26,Monitor,West,Neha,4,1692,6768
MAR-1009,2025-03-05,Keyboard,South,Vikram,1,1622,1622
MAR-1010,2025-03-25,Tablet,East,Karan,9,294,2646
MAR-1011,2025-03-11,Keyboard,North,Amit,3,919,2757
MAR-1012,2025-03-28,Printer,North,Amit,4,1337,5348
MAR-1013,2025-03-25,Tablet,North,Arjun,3,544,1632
MAR-1014,2025-03-09,Monitor,South,Neha,9,1605,14445
MAR-1015,2025-03-16,Webcam,West,Priya,9,833,7497
MAR-1016,2025-03-19,Laptop,South,Priya,10,1607,16070
MAR-1017,2025-03-11,Printer,West,Amit,4,419,1676
MAR-1018,2025-03-09,Webcam,South,Amit,4,1901,7604
MAR-1019,2025-03-15,Webcam,North,Riya,7,628,4396
MAR-1020,2025-03-22,Printer,South,Riya,9,1816,16344
MAR-1021,2025-03-17,Monitor,East,Arjun,6,1769,10614
MAR-1022,2025-03-19,Headphones,South,Arjun,5,1425,7125
MAR-1023,2025-03-16,Printer,South,Sneha,9,1540,13860
MAR-1024,2025-03-15,Printer,West,Karan,9,1542,13878
MAR-1025,2025-03-19,Headphones,South,Neha,10,815,8150
MAR-1026,2025-03-04,Keyboard,North,Karan,5,241,1205
MAR-1027,2025-03-05,Keyboard,West,Sneha,4,264,1056
MAR-1028,2025-03-03,Webcam,South,Vikram,1,517,517
MAR-1029,2025-03-10,Webcam,South,Neha,3,343,1029
MAR-1030,2025-03-16,Webcam,North,Neha,2,925,1850
MAR-1031,2025-03-19,Laptop,South,Karan,7,1465,10255
MAR-1032,2025-03-26,Tablet,South,Vikram,2,322,644
MAR-1033,2025-03-26,Monitor,West,Sneha,6,264,1584
MAR-1034,2025-03-24,Headphones,North,Neha,9,781,7029
MAR-1035,2025-03-27,Laptop,North,Vikram,7,1575,11025
MAR-1036,2025-03-21,Laptop,North,Riya,8,1237,9896
MAR-1037,2025-03-21,Keyboard,East,Karan,4,233,932
MAR-1038,2025-03-13,Keyboard,West,Priya,1,818,818
MAR-1039,2025-03-23,Headphones,South,Arjun,3,945,2835
MAR-1040,2025-03-13,Tablet,South,Neha,10,1672,16720
MAR-1041,2025-03-03,Mouse,East,Vikram,6,352,2112
MAR-1042,2025-03-19,Webcam,North,Karan,3,1438,4314
MAR-1043,2025-03-19,Keyboard,South,Vikram,2,403,806
MAR-1044,2025-03-12,Keyboard,South,Amit,2,1538,3076
MAR-1045,2025-03-06,Laptop,North,Karan,9,1390,12510
MAR-1046,2025-03-26,Webcam,South,Neha,2,649,1298
MAR-1047,2025-03-26,Headphones,South,Priya,1,1229,1229
MAR-1048,2025-03-17,Mouse,North,Priya,10,1636,16360
MAR-1049,2025-03-23,Headphones,West,Riya,10,910,9100
MAR-1050,2025-03-12,Tablet,East,Priya,1,1688,1688
MAR-1051,2025-03-23,Keyboard,East,Neha,8,1724,13792
MAR-1052,2025-03-03,Printer,West,Riya,6,1712,10272
MAR-1053,2025-03-15,Monitor,West,Arjun,1,1480,1480
MAR-1054,2025-03-12,Printer,West,Amit,1,918,918
MAR-1055,2025-03-19,Laptop,South,Priya,10,1437,14370
MAR-1056,2025-03-24,Headphones,West,Karan,7,1923,13461
MAR-1057,2025-03-25,Headphones,West,Karan,2,374,748
MAR-1058,2025-03-03,Headphones,North,Neha,4,687,2748
MAR-1059,2025-03-09,Mouse,West,Priya,2,1950,3900
MAR-1060,2025-03-10,Laptop,South,Priya,2,1745,3490
MAR-1061,2025-03-28,Tablet,South,Vikram,1,1872,1872
