Order_ID,Date,Product,Region,Salesperson,Units_Sold,Unit_Price,Revenue
NOV-1000,2025-11-02,Keyboard,West,Karan,4,1737,6948
NOV-1001,2025-11-04,Headphones,East,Amit,3,724,2172
NOV-1002,2025-11-21,Keyboard,South,Priya,7,898,6286
NOV-1003,2025-11-10,Tablet,North,Priya,10,1644,16440
NOV-1004,2025-11-03,Mouse,South,Vikram,9,1661,14949
NOV-1005,2025-11-17,Monitor,East,Riya,7,1257,8799
NOV-1006,2025-11-16,Webcam,West,Arjun,1,360,360
NOV-1007,2025-11-24,Monitor,North,Arjun,9,1173,10557
NOV-1008,2025-11-19,Tablet,East,Neha,4,1201,4804
NOV-1009,2025-11-21,Webcam,North,Karan,7,1249,8743
NOV-1010,2025-11-07,Laptop,North,Neha,7,1084,7588
NOV-1011,2025-11-24,Tablet,East,Amit,9,1260,11340
NOV-1012,2025-11-17,Printer,South,Priya,4,1936,7744
NOV-1013,2025-11-05,Laptop,East,Arjun,8,364,2912
NOV-1014,2025-11-25,Tablet,West,Karan,8,1548,12384
NOV-1015,2025-11-06,Keyboard,North,Amit,10,1203,12030
NOV-1016,2025-11-22,Webcam,North,Priya,2,415,830
NOV-1017,2025-11-09,Webcam,East,Neha,5,730,3650
NOV-1018,2025-11-14,Webcam,South,Amit,8,1177,9416
NOV-1019,2025-11-18,Keyboard,East,Neha,4,1223,4892
NOV-1020,2025-11-22,Monitor,East,Karan,10,925,9250
NOV-1021,2025-11-14,Mouse,North,Sneha,2,1538,3076
NOV-1022,2025-11-12,Laptop,North,Priya,1,924,924
NOV-1023,2025-11-28,Monitor,North,Amit,10,981,9810
NOV-1024,2025-11-25,Tablet,South,Arjun,2,377,754
NOV-1025,2025-11-13,Tablet,North,Riya,5,1565,7825
NOV-1026,2025-11-19,Mouse,West,Arjun,6,1700,10200
NOV-1027,2025-11-15,Printer,South,Karan,5,637,3185
NOV-1028,2025-11-08,Laptop,North,Priya,9,1515,13635
NOV-1029,2025-11-05,Headphones,South,Arjun,7,1156,8092
NOV-1030,2025-11-06,Tablet,East,Sneha,9,322,2898
NOV-1031,2025-11-17,Tablet,East,Sneha,7,636,4452
NOV-1032,2025-11-02,Tablet,South,Arjun,5,1205,6025
NOV-1033,2025-11-26,Printer,North,Arjun,2,491,982
NOV-1034,2025-11-28,Tablet,East,Arjun,7,785,5495
NOV-1035,2025-11-08,Webcam,South,Neha,4,976,3904
NOV-1036,2025-11-18,Keyboard,North,Riya,6,1605,9630
NOV-1037,2025-11-03,Mouse,West,Sneha,10,1392,13920
NOV-1038,2025-11-15,Webcam,East,Amit,6,267,1602
NOV-1039,2025-11-06,Monitor,West,Sneha,5,881,4405
NOV-1040,2025-11-15,Mouse,West,Amit,6,1751,10506
NOV-1041,2025-11-28,Webcam,South,Amit,2,1852,3704
NOV-1042,2025-11-08,Monitor,South,Riya,2,1715,3430
NOV-1043,2025-11-21,Printer,North,Vikram,7,431,3017
NOV-1044,2025-11-01,Keyboard,East,Arjun,1,1312,1312
NOV-1045,2025-11-25,Webcam,West,Vikram,3,1843,5529
NOV-1046,2025-11-13,Webcam,East,Priya,5,1210,6050
NOV-1047,2025-11-21,Tablet,North,Amit,8,1902,15216
NOV-1048,2025-11-23,Keyboard,West,Amit,7,707,4949
NOV-1049,2025-11-03,Printer,East,Vikram,2,1256,2512
NOV-1050,2025-11-24,Headphones,West,Amit,5,1409,7045
NOV-1051,2025-11-17,Monitor,South,Sneha,6,982,5892
NOV-1052,2025-11-26,Keyboard,South,Vikram,4,768,3072
NOV-1053,2025-11-07,Webcam,East,Karan,4,1660,6640
NOV-1054,2025-11-16,Monitor,East,Amit,5,1691,8455
NOV-1055,2025-11-19,Monitor,North,Arjun,3,354,1062
NOV-1056,2025-11-04,Laptop,South,Sneha,3,1024,3072
NOV-1057,2025-11-16,Laptop,East,Amit,7,1559,10913
NOV-1058,2025-11-26,Keyboard,East,Vikram,3,585,1755
NOV-1059,2025-11-28,Tablet,North,Arjun,8,1580,12640
NOV-1060,2025-11-27,Printer,North,Amit,4,1440,5760
NOV-1061,2025-11-07,Laptop,South,Amit,8,1084,8672
NOV-1062,2025-11-09,Mouse,East,Vikram,4,969,3876
NOV-1063,2025-11-27,Headphones,East,Amit,4,1811,7244
NOV-1064,2025-11-11,Headphones,West,Arjun,9,607,5463
NOV-1065,2025-11-02,Webcam,East,Karan,4,706,2824
NOV-1066,2025-11-15,Monitor,South,Neha,3,453,1359
NOV-1067,2025-11-15,Webcam,East,Arjun,1,540,540
NOV-1068,2025-11-15,Monitor,West,Neha,5,757,3785
NOV-1069,2025-11-16,Headphones,West,Amit,5,360,1800
NOV-1070,2025-11-21,Headphones,South,Sneha,8,353,2824
NOV-1071,2025-11-05,Mouse,South,Neha,7,262,1834
NOV-1072,2025-11-02,Keyboard,West,Sneha,9,1246,11214
NOV-1073,2025-11-23,Laptop,West,Amit,7,284,1988
NOV-1074,2025-11-05,Keyboard,East,Vikram,3,1485,4455
NOV-1075,2025-11-26,Headphones,North,Riya,4,1678,6712
NOV-1076,2025-11-07,Printer,North,Karan,6,983,5898
NOV-1077,2025-11-06,Printer,North,Amit,3,1870,5610
NOV-1078,2025-11-08,Keyboard,West,Riya,4,883,3532
NOV-1079,2025-11-05,Headphones,West,Riya,2,372,744
NOV-1080,2025-11-09,Webcam,East,Sneha,2,1176,2352
NOV-1081,2025-11-02,Laptop,West,Vikram,10,676,6760
