Order_ID,Date,Product,Region,Salesperson,Units_Sold,Unit_Price,Revenue
OCT-1000,2025-10-23,Printer,South,Karan,8,295,2360
OCT-1001,2025-10-01,Laptop,East,Karan,3,1259,3777
OCT-1002,2025-10-12,Laptop,North,Arjun,6,1720,10320
OCT-1003,2025-10-19,Headphones,East,Neha,10,1213,12130
OCT-1004,2025-10-26,Laptop,East,Vikram,7,468,3276
OCT-1005,2025-10-28,Printer,East,Vikram,1,962,962
OCT-1006,2025-10-07,Keyboard,North,Priya,5,1775,8875
OCT-1007,2025-10-02,Laptop,East,Sneha,6,432,2592
OCT-1008,2025-10-15,Tablet,South,Arjun,4,322,1288
OCT-1009,2025-10-21,Mouse,North,Neha,5,912,4560
OCT-1010,2025-10-19,Mouse,South,Priya,10,1212,12120
OCT-1011,2025-10-25,Mouse,North,Sneha,1,367,367
OCT-1012,2025-10-25,Webcam,East,Riya,6,1633,9798
OCT-1013,2025-10-01,Laptop,East,Vikram,9,213,1917
OCT-1014,2025-10-12,Tablet,East,Sneha,6,1262,7572
OCT-1015,2025-10-23,Printer,East,Karan,4,1774,7096
OCT-1016,2025-10-18,Monitor,North,Karan,3,537,1611
OCT-1017,2025-10-16,Printer,South,Neha,6,584,3504
OCT-1018,2025-10-23,Printer,West,Priya,5,241,1205
OCT-1019,2025-10-24,Laptop,East,Arjun,4,1664,6656
OCT-1020,2025-10-28,Monitor,West,Arjun,8,1803,14424
OCT-1021,2025-10-21,Tablet,North,Amit,6,348,2088
OCT-1022,2025-10-28,Webcam,West,Riya,7,1068,7476
OCT-1023,2025-10-07,Printer,West,Riya,7,1482,10374
OCT-1024,2025-10-07,Mouse,West,Vikram,9,1623,14607
OCT-1025,2025-10-17,Printer,North,Sneha,2,1761,3522
OCT-1026,2025-10-18,Mouse,West,Arjun,3,1980,5940
OCT-1027,2025-10-18,Monitor,South,Arjun,1,1052,1052
OCT-1028,2025-10-19,Tablet,East,Karan,9,1406,12654
OCT-1029,2025-10-05,Tablet,East,Karan,9,1180,10620
OCT-1030,2025-10-04,Monitor,South,Amit,2,1319,2638
OCT-1031,2025-10-03,Webcam,South,Arjun,8,866,6928
OCT-1032,2025-10-17,Mouse,North,Arjun,10,1746,17460
OCT-1033,2025-10-26,Webcam,North,Vikram,7,1904,13328
OCT-1034,2025-10-24,Monitor,West,Neha,10,929,9290
OCT-1035,2025-10-02,Printer,South,Priya,3,1895,5685
OCT-1036,2025-10-02,Monitor,North,Amit,1,608,608
OCT-1037,2025-10-15,Tablet,West,Arjun,6,1119,6714
OCT-1038,2025-10-16,Webcam,East,Arjun,9,1681,15129
