order_id,customer_name,city,product_category,amount,order_date
1,Qushi Ravi,Ahmedabad,Home,27833.92,2026-02-11 05:58:29.235123
2,Vidhi Rout,Hyderabad,Electronics,24890.04,2025-08-05 05:58:29.235123
3,Warjas Sachdeva,,Electronics,64920.8,2024-10-28 05:58:29.235123
4,Ishaan Sahota,Chennai,Electronics,26617.52,2025-02-23 05:58:29.235123
5,Rushil Sundaram,Ahmedabad,Sports,59836.59,2025-10-07 05:58:29.235123
6,Krish Mani,Bangalore,Sports,87319.43,2025-12-20 05:58:29.235123
7,Yug Gala,Ahmedabad,Accessories,89463.32,2025-06-21 05:58:29.235123
8,Quincy Dey,Surat,Sports,47134.45,2024-07-03 05:58:29.235123
9,Urvashi Soman,Chennai,Home,7763.29,2026-03-18 05:58:29.235123
10,Chandran Mander,Hyderabad,Electronics,73686.56,2024-05-01 05:58:29.235123
11,Timothy Srinivas,Surat,Home,65081.48,2025-02-22 05:58:29.235123
12,Kabir Dass,Surat,Sports,94842.94,2025-09-19 05:58:29.235123
13,Jagrati Sanghvi,Bangalore,Home,22404.75,2025-08-31 05:58:29.235123
14,David Badami,Pune,Sports,62850.15,2025-03-11 05:58:29.235123
15,Aradhana Raj,Chennai,Sports,20097.44,2024-10-04 05:58:29.235123
16,Zarna Basu,Delhi,Sports,99986.55,2024-09-01 05:58:29.235123
17,Sara Varty,Surat,Home,12320.2,2024-07-31 05:58:29.235123
18,Rushil Malhotra,Pune,Electronics,63728.02,2024-04-29 05:58:29.235123
19,Warda Golla,Delhi,Home,3162.14,2026-02-04 05:58:29.235123
20,Jagvi Barad,Chennai,Electronics,63036.04,2025-11-22 05:58:29.235123
21,Yochana Virk,Mumbai,Electronics,60722.09,2025-07-21 05:58:29.235123
22,Samar Dar,Pune,Electronics,16453.71,2024-09-15 05:58:29.235123
23,Ethan Krishna,Kolkata,Electronics,66825.83,2025-03-13 05:58:29.235123
24,Barkha Doshi,Mumbai,Accessories,69035.52,2024-09-04 05:58:29.235123
25,Ranveer Dixit,Bangalore,Home,36220.19,2025-08-31 05:58:29.235123
26,Farhan Mand,Ahmedabad,Sports,57433.94,2025-08-23 05:58:29.235123
27,Utkarsh Maharaj,Hyderabad,Electronics,12874.46,2024-03-20 05:58:29.235123
28,Aradhana Arya,Kolkata,Sports,21134.51,2025-04-04 05:58:29.235123
29,Ishani Subramaniam,Bangalore,Sports,30324.64,2025-02-28 05:58:29.235123
30,Sanya Nair,Chennai,Electronics,8763.34,2025-07-25 05:58:29.235123
31,Warjas Majumdar,,Home,67329.69,2025-03-02 05:58:29.235123
32,Jeevika Badami,Ahmedabad,Home,51516.13,2024-09-11 05:58:29.235123
33,Vivaan Pandya,Chennai,Sports,94170.94,2025-01-15 05:58:29.235123
