trip_id,rider_id,distance_km,duration_min,fare_amount,ride_date,surge_flag,fare_z,distance_z,hour,day_of_week,month,payment_mode_Cash,payment_mode_Credit Card,payment_mode_UPI,payment_mode_Wallet,zone_Zone_1,zone_Zone_10,zone_Zone_2,zone_Zone_3,zone_Zone_4,zone_Zone_5,zone_Zone_6,zone_Zone_7,zone_Zone_8,zone_Zone_9,log_fare,log_distance,sqrt_duration,is_peak_hour,name,age,gender,city,signup_date,total_rides,cancelled_rides,avg_rating,gender_encoded,ride_frequency,ride_frequency_level,avg_ride_distance,avg_ride_fare,days_since_signup,zone_name,population_density,traffic_index,avg_speed_kmph,zone_type
T00001,R0037,11.83,74.59,104.88,11/13/2023,0,-0.347604261,0.805111877,0,Monday,November,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.662306377,2.551786179,8.636550237,0,Aadhya Iyer,32,Other,Ahmedabad,11/21/2020,489,6,3.36,2,8,Medium,9.76125,164.3325,2119,Zone_10,2440,1.54,35.4,Industrial
T00002,R0104,3.86,35.59,40.48,7/28/2023,0,-1.100815296,-0.985983272,0,Friday,July,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.725211383,1.581038438,5.965735495,0,Diya Gupta,52,Male,Kolkata,5/27/2021,328,1,3.7,1,9,Medium,5.187777778,85.04333333,1932,Zone_9,11037,1.83,56.1,Mixed
T00003,R0045,4.7,31.03,46.39,1/14/2024,0,-1.031692979,-0.797210383,0,Sunday,January,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.858411236,1.740466175,5.570457791,0,Saanvi Iyer,34,Other,Ahmedabad,7/12/2023,100,16,4.88,2,9,Medium,9.725555556,169.9833333,1156,Zone_8,4516,1.93,31,Business
T00004,R0089,11.06,59.48,257.64,12/13/2023,1,1.43904974,0.632070062,0,Wednesday,December,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.555437133,2.489894191,7.712327794,0,Saanvi Reddy,48,Other,Surat,9/21/2022,308,6,3.91,2,9,Medium,9.981111111,157.2833333,1450,Zone_2,6371,0.91,58.4,Residential
T00005,R0003,7.28,67.59,72.74,3/15/2023,0,-0.723508029,-0.217407938,0,Wednesday,March,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.300545393,2.113842968,8.221313764,0,Kavya Reddy,34,Male,Pune,5/4/2023,45,9,3.76,1,10,Medium,6.768,97.171,1225,Zone_5,2590,1.31,43.9,Business
T00006,R0255,14.58,80.74,282.52,2/10/2024,0,1.730041829,1.423118359,0,Saturday,February,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5.647282667,2.74598804,8.985543946,0,Reyansh Sharma,37,Female,Bengaluru,7/6/2021,475,42,3.12,0,8,Medium,9.0025,157.7775,1892,Zone_2,6371,0.91,58.4,Residential
T00007,R0224,4.48,40.07,58.38,8/21/2023,0,-0.891460055,-0.846650902,0,Monday,August,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.083957469,1.701105101,6.330086887,0,Ishaan Sharma,29,Female,Ahmedabad,8/4/2020,200,1,4.31,0,7,Medium,5.958571429,73.44857143,2228,Zone_4,4038,2.46,48.2,Business
T00008,R0039,11.75,96.11,102.35,3/10/2024,0,-0.377194694,0.787133507,0,Sunday,March,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4.638121286,2.545531272,9.803570778,0,Aadhya Iyer,24,Male,Chennai,11/18/2023,190,14,4.2,1,7,Medium,4.837142857,72.58,1027,Zone_3,12971,2.11,38,Business
T00009,R0223,9.71,66.61,175.75,5/20/2024,0,0.481278752,0.328685062,0,Monday,May,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.174736305,2.371177884,8.161494961,0,Meera Ghosh,30,Female,Surat,11/29/2019,158,10,4.04,0,8,Medium,7.05,123.40125,2477,Zone_5,2590,1.31,43.9,Business
T00010,R0236,7.37,51.09,98.34,3/1/2023,0,-0.424094947,-0.197182272,0,Wednesday,March,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.59854831,2.124653885,7.147726911,0,Arjun Gupta,28,Male,Ahmedabad,8/10/2020,61,1,3.36,1,11,High,4.546363636,69.86727273,2222,Zone_5,2590,1.31,43.9,Business
